City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,kodiak,US,57.79,-152.4072,45.91,81,100,17.27,light rain
1,barrow,US,71.2906,-156.7887,26.62,93,100,16.11,overcast clouds
2,pozo colorado,PY,-23.4923,-58.7972,70.86,86,88,3.71,overcast clouds
3,upernavik,GL,72.7868,-56.1549,25.74,92,100,8.61,light snow
4,oltedal,NO,58.831,6.0466,44.19,95,69,3.74,broken clouds
5,atuona,PF,-9.8,-139.0333,77.16,69,0,13.02,clear sky
6,srednekolymsk,RU,67.45,153.6833,12.56,80,100,20.47,overcast clouds
7,lesosibirsk,RU,58.2358,92.4828,34.05,99,100,1.43,overcast clouds
8,albany,US,42.6001,-73.9662,43.21,87,36,3.65,scattered clouds
9,svetlogorsk,BY,52.6333,29.7333,47.64,92,100,4.92,overcast clouds
10,luderitz,NA,-26.6481,15.1594,61.07,78,4,12.21,clear sky
11,praia da vitoria,PT,38.7333,-27.0667,62.76,82,20,20.71,few clouds
12,walvis bay,NA,-22.9575,14.5053,58.15,94,14,4.61,few clouds
13,bereda,ES,43.2686,-7.5406,60.42,95,100,3.29,overcast clouds
14,port elizabeth,ZA,-33.918,25.5701,68.31,97,100,6.91,overcast clouds
15,dikson,RU,73.5069,80.5464,26.65,89,100,16.91,light snow
16,san carlos de bariloche,AR,-41.1456,-71.3082,53.35,67,0,3.44,clear sky
17,rikitea,PF,-23.1203,-134.9692,69.39,66,0,18.92,clear sky
18,khor,RU,47.8861,134.9464,46.47,42,0,17.87,clear sky
19,hofn,IS,64.2539,-15.2082,43.38,64,45,3.71,scattered clouds
20,jamestown,US,42.097,-79.2353,38.79,89,100,10.36,overcast clouds
21,goderich,CA,43.7501,-81.7165,43.92,93,82,4.61,broken clouds
22,esperance,AU,-33.8667,121.9,69.4,48,0,5.28,clear sky
23,hobart,AU,-42.8794,147.3294,71.91,56,20,10.36,few clouds
24,saskylakh,RU,71.9167,114.0833,25.54,92,100,17.67,overcast clouds
25,punta arenas,CL,-53.15,-70.9167,42.91,65,0,16.11,clear sky
26,novoalekseyevskaya,RU,44.8189,40.9339,48.74,87,0,4.85,clear sky
27,crotone,IT,39.0851,17.1178,63.19,66,0,5.66,clear sky
28,porto novo,BJ,6.4965,2.6036,80.42,86,70,4.23,light rain
29,kalmunai,LK,7.4167,81.8167,81.1,75,100,2.66,overcast clouds
30,hambantota,LK,6.1241,81.1185,82.74,83,100,1.14,overcast clouds
31,hermanus,ZA,-34.4187,19.2345,62.8,94,5,8.48,clear sky
32,cam ranh,VN,11.9214,109.1591,84.16,65,20,1.14,few clouds
33,alexandria,EG,31.2156,29.9553,68.54,72,31,7.4,scattered clouds
34,bathsheba,BB,13.2167,-59.5167,83.01,78,40,12.66,scattered clouds
35,tuktoyaktuk,CA,69.4541,-133.0374,28.4,93,100,3.44,overcast clouds
